,France,Germany,Italy,Japan,Korea,Spain,United Kingdom,Euro area (19 countries)
Aug-15,100.09,99.01,98.79,98.79,101.9,99.79,100.28,99.69
Sep-15,101.16,99.21,99.79,100.49,103.1,101.18,100.07,100.29
Oct-15,101.29,100.31,99.89,100.59,101.2,100.56,100.07,100.79
Nov-15,99.36,99.01,100.59,99.99,100.5,100.49,98.8,99.89
Dec-15,99.7,99.91,98.69,98.09,99.8,100.3,98.59,100.19
Jan-16,101.46,101.21,101.69,100.29,99,101.85,100.07,102.69
Feb-16,100.83,101.21,100.39,99.49,100.8,101.45,99.43,101.09
Mar-16,100.06,100.21,100.49,99.89,101,102.36,100.28,100.59
Apr-16,101.14,101.01,102.09,99.19,99.9,102.55,103.47,101.59
May-16,99.61,99.01,100.39,98.69,103.4,100.35,101.77,100.19
Jun-16,99.31,101.21,99.29,99.19,103.5,100.66,100.6,101.19
Jul-16,99.14,99.61,101.29,99.69,102.7,100.8,100.6,101.19
Aug-16,101.06,101.31,102.09,100.59,101.3,102.14,100.39,101.19
Sep-16,99.89,101.01,101.89,100.99,101.8,101.9,100.18,101.39
Oct-16,99.59,101.81,102.39,101.09,100.4,102.18,98.69,102.89
Nov-16,102.27,101.41,103.29,102.09,104.8,103.22,99.54,102.59
Dec-16,100.76,99.51,104.99,101.49,103.8,103.26,101.03,102.39
Jan-17,101.11,100.91,102.09,100.69,106.3,104.24,99.75,101.89
Feb-17,100.09,102.11,102.99,101.39,104.7,103.49,99.22,102.69
Mar-17,101.41,101.61,103.79,101.49,106.3,103.29,98.05,102.39
Apr-17,101.05,103.21,103.49,103.79,104.4,103.3,98.9,103.19
May-17,103.29,103.41,104.29,102.19,105.5,104.48,99.12,103.59
Jun-17,102.03,103.51,105.69,102.99,104.3,104.49,99.01,103.19
Jul-17,102.58,104.21,106.49,102.49,105,104.23,99.96,104.79
Aug-17,102.87,106.41,108.19,103.79,105,104.64,100.07,105.49
Sep-17,103.59,105.41,105.19,102.59,105.3,105.32,101.87,104.89
Oct-17,104.13,103.81,105.79,103.19,105.8,106.42,102.09,105.89
Nov-17,104.47,107.61,107.39,103.99,105.4,107.62,102.83,107.69
Dec-17,105.67,107.01,110.69,105.49,103.3,109.4,103.15,108.09
Jan-18,101.79,106.51,106.59,101.29,105.2,105.37,103.04,105.79
Feb-18,103.28,104.61,105.89,103.79,106.2,106.56,103.36,104.99
Mar-18,104.29,105.91,107.39,104.89,104.6,107.71,103.15,105.19
Apr-18,103.26,105.41,105.69,104.29,107.1,105.31,103.04,104.89
May-18,102.19,107.11,106.69,104.59,108,105.66,102.83,106.19
Jun-18,103.93,107.01,107.19,103.59,108.5,104.53,104.63,105.99
Jul-18,103.7,104.71,106.09,103.79,108.3,104.62,103.78,104.79
Aug-18,104.02,105.71,106.89,103.59,109.1,105.42,104.53,106.19
Sep-18,102.91,105.01,107.09,103.29,106.1,105.3,104.74,105.29
Oct-18,104,105.01,106.79,105.29,107.7,106.26,103.68,106.19
Nov-18,102.88,103.01,104.89,104.09,105.7,104.6,103.57,104.19
Dec-18,104.28,103.91,105.49,104.39,103.9,104.28,103.78,104.59
Jan-19,104.59,103.61,106.19,102.39,105.4,107.36,104.85,105.59
Feb-19,104.68,103.61,106.49,102.89,102.2,106.63,105.48,105.39
Mar-19,104.48,104.41,105.59,102.49,104.1,106.32,106.44,105.49
Apr-19,104.81,102.81,104.09,102.69,106.1,106.51,104,104.89
May-19,106.24,103.51,106.29,103.89,105.9,106.77,105.27,105.29
Jun-19,103.66,102.61,106.09,101.39,106.4,106.07,105.59,104.49
Jul-19,104.11,102.01,106.19,101.79,108.6,105.27,106.01,104.19
Aug-19,102.93,102.21,105.29,100.49,106.6,106.05,105.38,104.29
Sep-19,103.88,101.41,104.99,102.49,108,105.51,106.97,104.49
Oct-19,103.69,100.71,104.29,98.29,106.9,105.24,107.92,104.99
Nov-19,103.25,100.81,104.49,97.69,107.5,106.18,107.61,103.69
Dec-19,101.23,98.51,101.89,97.79,110.5,105.02,107.71,101.69
Jan-20,101.28,101.51,105.69,98.09,108.3,105.66,110.05,104.19
Feb-20,103.47,102.81,103.29,98.39,105.5,105.41,111,103.99
Mar-20,85.76,91.51,74.09,96.29,109.7,91.48,105.38,92.69
Apr-20,68.16,71.11,58.2,87.09,103.9,70.17,86.17,74.99
May-20,81.34,79.81,84.49,78.29,96.3,81.1,92.64,85.29
Jun-20,91.42,89.51,91.59,82.09,103.6,90.17,103.47,93.79
Jul-20,94.91,91.61,97.99,87.39,105.5,97.27,109.2,98.39
Aug-20,95.3,90.71,104.39,89.89,106.3,100.17,111.32,98.09
Sep-20,97.03,93.61,100.19,91.99,109.6,101.9,113.02,98.79
Oct-20,99.57,97.21,102.49,93.69,109,103.39,114.18,101.49
Nov-20,98.44,98.61,100.09,93.99,109.4,102.19,115.99,104.89
Dec-20,97.92,98.71,100.69,94.09,111.3,103.47,116.84,104.29
Jan-21,100.71,98.21,104.19,96.19,111.8,103.23,114.93,105.79
Feb-21,96.34,97.01,102.69,96.09,115.4,103.08,115.35,104.19
Mar-21,98.07,98.51,102.89,97.29,114.8,104.16,116.41,105.09
Apr-21,98.23,98.01,103.99,98.49,112.9,103.8,115.78,106.09
May-21,98.03,97.01,102.79,92.59,112.7,101.91,117.69,104.09
Jun-21,97.84,96.31,104.99,98.69,114.3,100.55,115.46,104.09
Jul-21,98.49,97.51,105.69,98.19,114.7,100.92,115.67,106.69
Aug-21,98.35,92.91,104.09,95.79,115.7,101.39,116.09,102.99
Sep-21,97.25,92.71,105.39,90.09,112.8,102.63,114.93,102.39
Oct-21,98.96,95.91,105.19,92.19,113.2,103.36,114.08,101.99
Nov-21,97.94,96.61,106.79,97.09,115,105.54,114.18,103.89
Dec-21,97.86,97.81,105.69,96.99,118.9,105.45,114.29,105.89
Jan-22,99.58,98.11,102.09,94.89,119.4,105.1,113.76,105.09
Feb-22,98.22,98.21,105.99,97.09,119.8,106.23,113.44,105.59
Mar-22,97.79,93.51,106.09,96.69,121.2,104.03,113.44,103.99
Apr-22,97.46,94.91,107.39,95.39,117.3,106.41,113.23,103.79
May-22,97.61,95.51,106.09,88.69,117.6,106.33,113.65,105.29
Jun-22,98.86,96.81,103.99,96.49,119.7,107.47,113.34,106.39
Jul-22,97.18,96.21,104.39,97.19,118.2,106.3,112.59,104.19
Aug-22,99.63,95.81,106.69,99.69,116.6,106.47,111,105.99
Sep-22,98.77,97.11,104.89,98.39,114.3,106.36,111.32,106.79
Oct-22,96.25,96.51,103.79,95.29,110.3,105.9,111.32,104.79
Nov-22,..,97.01,..,95.59,110.7,..,..,105.89
